,lat,lon,elevation_ft,precip_in,month,year
23154,36.24,118.71,5400,0.72,May,2014
23155,36.24,118.71,5400,0.72,May,2014
23156,36.05,121.52,3288,0.00,May,2014
23158,40.54,121.58,5750,1.21,May,2014
23160,37.49,119.99,2100,0.05,May,2014
23161,37.49,119.99,2100,0.05,May,2014
23163,40.18,123.78,218,0.24,May,2014
23164,37.06,121.60,260,0.00,May,2014
23165,38.67,122.63,4140,0.43,May,2014
23166,41.78,122.04,4250,0.77,May,2014
23167,37.01,121.70,1822,0.04,May,2014
23168,36.19,120.76,2794,0.08,May,2014
23169,38.39,120.65,2967,0.72,May,2014
23170,40.72,123.29,3400,0.47,May,2014
23171,34.23,118.07,5733,0.03,May,2014
23172,35.76,120.89,825,0.00,May,2014
23173,36.69,121.62,80,0.00,May,2014
23174,38.43,122.25,1660,0.04,May,2014
23175,38.16,120.81,554,0.05,May,2014
23176,35.02,120.47,305,0.00,May,2014
23177,35.20,120.46,550,0.00,May,2014
23178,39.54,122.67,5100,0.12,May,2014
23179,38.00,120.49,960,0.99,May,2014
23180,37.95,120.53,1400,0.60,May,2014
23181,37.23,119.51,2630,0.59,May,2014
23182,38.28,122.26,35,0.00,May,2014
23183,37.34,119.35,5150,0.92,May,2014
23184,39.25,121.00,2781,0.73,May,2014
23185,41.84,122.85,1980,0.35,May,2014
23186,33.21,117.35,30,0.00,May,2014
23187,33.21,117.35,30,0.00,May,2014
23188,40.42,122.74,1300,0.12,May,2014
23189,37.15,121.42,1696,0.04,May,2014
23190,37.33,119.66,2230,0.25,May,2014
23191,41.84,122.85,1953,0.28,May,2014
23193,39.75,122.20,254,0.17,May,2014
23194,36.18,118.71,3240,0.74,May,2014
23195,39.53,121.52,900,0.40,May,2014
23196,41.30,124.05,5,2.00,May,2014
23197,41.31,123.53,400,0.49,May,2014
23203,36.61,120.88,1400,0.00,May,2014
23205,38.76,120.50,3440,0.70,May,2014
23206,38.76,120.50,3440,0.70,May,2014
23207,37.25,119.46,5150,1.08,May,2014
23208,38.58,122.63,1124,0.08,May,2014
23209,36.83,119.32,615,0.35,May,2014
23210,36.83,119.32,615,0.35,May,2014
23211,38.40,120.63,2440,1.28,May,2014
23214,35.90,120.43,1525,0.15,May,2014
23215,38.70,120.82,1850,0.24,May,2014
23216,40.44,122.83,2452,0.18,May,2014
23217,40.21,121.16,4520,0.65,May,2014
23218,40.29,122.87,3500,0.17,May,2014
23219,36.40,121.72,2610,0.19,May,2014
23220,39.37,123.13,1440,0.13,May,2014
23221,37.40,119.52,6900,0.96,May,2014
23222,39.81,120.47,4850,0.30,May,2014
23223,35.63,120.69,700,0.00,May,2014
23224,35.63,120.69,700,0.00,May,2014
23225,39.75,121.62,1725,0.26,May,2014
23226,37.02,119.56,1296,0.04,May,2014
23227,33.36,116.86,5560,0.00,May,2014
23228,40.99,121.98,1458,0.57,May,2014
23229,40.99,121.98,1458,0.57,May,2014
23231,35.97,118.35,9150,0.48,May,2014
23232,33.82,116.50,474,0.00,May,2014
23233,39.38,120.14,5760,3.27,May,2014
23234,39.38,120.14,5760,3.27,May,2014
23235,38.19,120.01,5600,1.10,May,2014
23236,36.63,121.93,27,0.04,May,2014
23237,40.98,121.51,2880,0.26,May,2014
23238,40.98,121.51,2880,0.26,May,2014
23239,36.17,121.38,5264,0.00,May,2014
23241,39.94,120.95,3420,0.26,May,2014
23242,39.94,120.95,3420,0.26,May,2014
23243,39.93,120.95,3408,0.32,May,2014
23245,41.60,122.93,4238,0.71,May,2014
23246,36.12,118.54,7200,0.05,May,2014
23247,40.15,122.25,353,0.61,May,2014
23249,40.52,122.30,502,0.15,May,2014
23250,39.67,123.32,2428,0.24,May,2014
23251,34.53,120.09,2610,0.04,May,2014
23254,40.57,122.42,740,0.00,May,2014
23255,36.11,118.64,6200,0.29,May,2014
23256,36.11,118.64,6200,0.29,May,2014
23258,35.67,121.05,3401,0.00,May,2014
23261,39.13,120.95,1945,0.56,May,2014
23262,38.31,120.55,2720,0.14,May,2014
23263,38.48,122.71,599,0.05,May,2014
23265,40.12,121.04,6100,0.28,May,2014
23266,33.95,117.39,839,0.00,May,2014
23267,34.05,116.82,7070,0.27,May,2014
23269,38.51,121.50,21,0.00,May,2014
23270,32.73,117.18,15,0.00,May,2014
23271,38.67,121.56,14,0.00,May,2014
23272,35.31,120.66,315,0.00,May,2014
23273,34.77,119.65,5300,0.09,May,2014
23274,34.10,117.27,1042,0.00,May,2014
23275,37.14,121.97,1400,0.00,May,2014
23276,41.27,122.72,5900,0.72,May,2014
23277,40.49,124.10,36,0.81,May,2014
23278,36.99,121.99,130,0.04,May,2014
23280,36.06,118.92,692,0.24,May,2014
23281,36.06,118.92,692,0.24,May,2014
23282,40.17,122.80,3850,0.66,May,2014
23283,41.35,122.25,6750,0.28,May,2014
23285,33.75,117.54,2800,0.00,May,2014
23286,39.58,120.37,4975,0.59,May,2014
23287,39.58,120.37,4975,0.59,May,2014
23288,38.17,120.10,5100,1.00,May,2014
23289,37.62,122.38,13,0.00,May,2014
23290,37.77,122.43,150,0.03,May,2014
23291,39.58,122.53,800,0.00,May,2014
23292,39.13,120.75,3843,1.16,May,2014
23293,40.71,122.42,1075,0.20,May,2014
23294,40.71,122.42,1075,0.20,May,2014
23295,40.50,121.85,3630,1.92,May,2014
23296,37.32,121.47,2300,0.00,May,2014
23297,35.08,120.19,2080,0.00,May,2014
23298,36.57,118.96,4340,0.49,May,2014
23299,38.68,120.12,7100,1.06,May,2014
23300,41.78,122.47,2644,0.43,May,2014
23301,36.76,121.49,2838,0.11,May,2014
23302,37.35,121.90,67,0.00,May,2014
23304,36.33,120.53,4840,0.04,May,2014
23305,38.50,119.94,7750,1.58,May,2014
23306,38.72,120.57,3530,0.71,May,2014
23307,38.72,120.57,3530,0.71,May,2014
23308,37.05,121.05,350,0.00,May,2014
23309,41.05,122.48,5700,0.76,May,2014
23311,41.39,123.49,915,0.87,May,2014
23312,34.51,119.82,2300,0.01,May,2014
23313,34.51,119.82,2300,0.01,May,2014
23314,34.30,119.04,1020,0.00,May,2014
23315,36.08,120.61,3920,0.45,May,2014
23318,35.37,120.64,1100,0.00,May,2014
23320,38.56,121.42,49,0.01,May,2014
23321,38.56,121.42,49,0.01,May,2014
23322,34.90,120.45,254,0.01,May,2014
23323,33.68,117.87,50,0.00,May,2014
23324,35.80,120.88,800,0.00,May,2014
23325,36.66,121.67,45,0.01,May,2014
23326,40.78,121.78,5950,0.64,May,2014
23327,39.42,122.98,1725,0.03,May,2014
23328,39.33,120.37,6885,1.38,May,2014
23329,36.28,121.32,339,0.00,May,2014
23330,37.97,120.39,1675,0.18,May,2014
23331,37.17,118.57,9580,1.28,May,2014
23332,37.17,118.57,9580,1.28,May,2014
23333,38.67,119.82,6115,1.20,May,2014
23334,38.50,120.22,3700,0.86,May,2014
23335,38.50,120.22,3700,0.86,May,2014
23336,38.13,120.37,1060,1.10,May,2014
23337,38.31,119.60,8827,0.70,May,2014
23340,38.21,120.46,2370,0.41,May,2014
23341,36.35,120.60,4650,0.00,May,2014
23343,33.74,117.87,135,0.00,May,2014
23345,37.31,122.00,174,0.00,May,2014
23347,32.84,117.03,300,0.00,May,2014
23348,41.74,121.51,4770,1.34,May,2014
23349,38.49,122.54,1780,0.36,May,2014
23350,41.17,121.93,5400,0.48,May,2014
23352,39.59,122.53,800,0.78,May,2014
23353,39.47,120.10,5690,0.53,May,2014
23354,39.56,121.11,3808,1.30,May,2014
23355,39.56,121.11,3808,1.30,May,2014
23358,41.30,123.13,2192,0.98,May,2014
23360,34.58,119.08,4800,0.19,May,2014
23361,33.11,116.67,2990,0.00,May,2014
23362,35.66,120.92,970,0.00,May,2014
23364,39.17,120.14,6230,0.94,May,2014
23365,39.89,122.52,720,0.52,May,2014
23367,40.82,122.66,3870,0.44,May,2014
23369,39.17,120.15,6790,1.00,May,2014
23370,39.30,122.65,4000,0.02,May,2014
23371,38.45,120.48,2355,0.22,May,2014
23372,38.45,120.48,2355,0.22,May,2014
23373,39.33,120.19,6020,0.79,May,2014
23374,39.33,120.19,6020,0.79,May,2014
23376,38.03,120.35,3730,0.64,May,2014
23377,36.41,119.00,752,0.14,May,2014
23378,36.41,119.00,752,0.14,May,2014
23379,37.16,119.20,7613,1.24,May,2014
23380,36.55,121.63,2338,0.20,May,2014
23382,35.86,121.32,3350,0.00,May,2014
23384,37.68,121.35,135,0.00,May,2014
23385,36.47,118.86,1140,0.47,May,2014
23386,40.73,122.79,1860,0.23,May,2014
23387,41.96,121.47,4035,0.68,May,2014
23388,37.87,119.35,8600,0.00,May,2014
23390,34.98,120.32,692,0.00,May,2014
23391,38.71,120.04,8000,1.79,May,2014
23393,40.92,122.82,4000,0.52,May,2014
23394,39.13,123.20,626,0.00,May,2014
23395,37.16,121.90,3090,0.00,May,2014
23396,37.22,121.68,735,0.00,May,2014
23397,37.09,121.80,1099,0.00,May,2014
23398,39.52,120.04,7320,0.44,May,2014
23400,38.07,119.23,9445,1.50,May,2014
23402,35.86,120.60,1476,0.00,May,2014
23403,40.54,121.58,5660,1.74,May,2014
23404,36.33,119.30,325,0.10,May,2014
23405,38.61,123.02,1260,0.04,May,2014
23407,40.46,121.87,2220,0.86,May,2014
23409,39.81,120.19,4950,0.44,May,2014
23410,34.27,119.21,280,0.00,May,2014
23412,35.60,119.35,345,0.00,May,2014
23413,37.45,119.69,4880,0.39,May,2014
23414,38.77,119.81,5700,0.00,May,2014
23415,40.73,122.94,2040,0.31,May,2014
23416,40.73,122.94,2040,0.31,May,2014
23417,41.48,122.45,2930,0.96,May,2014
23418,34.24,118.02,4000,0.00,May,2014
23419,39.30,123.29,1851,0.20,May,2014
23421,39.02,122.41,2085,0.09,May,2014
23422,40.62,121.90,2499,0.80,May,2014
23423,40.95,123.64,461,0.77,May,2014
23427,40.61,122.53,1295,0.08,May,2014
23428,38.47,120.37,1950,0.12,May,2014
23430,36.93,121.77,95,0.05,May,2014
23431,41.37,122.64,2625,0.55,May,2014
23432,37.51,119.65,5120,0.57,May,2014
23433,37.75,119.59,3966,0.61,May,2014
23436,37.09,119.51,2090,0.00,Jun,2014
23438,37.90,122.53,2,0.00,Jun,2014
23439,40.98,124.11,223,0.73,Jun,2014
23440,41.23,120.79,6190,0.40,Jun,2014
23441,41.19,120.94,4195,0.24,Jun,2014
23442,38.88,121.05,1200,0.00,Jun,2014
23443,37.15,119.50,1000,0.00,Jun,2014
23444,40.19,123.59,1059,0.00,Jun,2014
23445,34.33,118.55,2780,0.00,Jun,2014
23446,39.47,120.88,4957,0.00,Jun,2014
23447,39.16,120.24,6910,0.19,Jun,2014
23448,37.17,121.63,645,0.00,Jun,2014
23449,38.57,122.44,1715,0.00,Jun,2014
23450,38.57,122.44,1715,0.00,Jun,2014
23451,36.19,121.64,3368,0.00,Jun,2014
23452,40.18,120.61,4960,0.00,Jun,2014
23453,37.23,121.98,449,0.00,Jun,2014
23455,38.28,120.31,4695,0.00,Jun,2014
23457,36.49,118.83,1708,0.00,Jun,2014
23459,34.45,118.20,2600,0.02,Jun,2014
23460,41.53,120.67,5049,0.67,Jun,2014
23461,38.91,121.08,1292,0.00,Jun,2014
23464,39.13,121.45,113,0.01,Jun,2014
23465,35.16,120.28,1500,0.00,Jun,2014
23466,34.89,117.02,2320,0.00,Jun,2014
23467,37.29,119.53,3400,0.00,Jun,2014
23468,34.92,119.92,5120,0.00,Jun,2014
23469,40.74,123.21,1250,0.06,Jun,2014
23470,34.24,116.90,6760,0.00,Jun,2014
23471,36.13,118.31,7650,0.01,Jun,2014
23472,34.21,116.62,6000,0.00,Jun,2014
23473,37.21,119.24,4878,0.00,Jun,2014
23475,41.05,120.34,5927,0.24,Jun,2014
23476,40.62,122.57,1300,0.00,Jun,2014
23477,38.59,120.93,905,0.00,Jun,2014
23478,35.43,119.05,497,0.00,Jun,2014
23479,37.21,119.97,450,0.12,Jun,2014
23480,37.37,118.36,4108,0.00,Jun,2014
23481,36.72,118.84,7603,0.01,Jun,2014
23482,33.92,117.90,340,0.00,Jun,2014
23483,39.85,121.24,5750,0.00,Jun,2014
23484,38.74,122.15,355,0.00,Jun,2014
23485,38.61,119.92,8104,0.30,Jun,2014
23486,38.45,120.03,7200,0.42,Jun,2014
23489,33.61,114.71,395,0.00,Jun,2014
23490,38.38,120.19,6500,0.03,Jun,2014
23491,39.28,120.71,5280,0.00,Jun,2014
23492,39.28,120.71,5280,0.00,Jun,2014
23493,37.07,119.40,4720,0.00,Jun,2014
23494,35.39,120.35,3560,0.00,Jun,2014
23495,33.00,116.84,1280,0.00,Jun,2014
23496,37.38,120.28,319,0.00,Jun,2014
23497,39.38,121.39,839,0.00,Jun,2014
23498,41.08,122.63,6450,0.12,Jun,2014
23499,38.99,123.35,644,0.01,Jun,2014
23500,40.88,121.68,3198,0.13,Jun,2014
23501,39.39,120.09,5575,0.00,Jun,2014
23502,39.45,120.66,5385,0.06,Jun,2014
23503,40.60,121.08,5686,0.05,Jun,2014
23505,38.26,119.23,6470,0.19,Jun,2014
23506,36.68,118.86,6800,0.20,Jun,2014
23507,36.68,118.86,6800,0.20,Jun,2014
23508,40.33,121.75,3400,0.44,Jun,2014
23509,39.92,121.35,1850,0.00,Jun,2014
23510,39.92,121.35,1850,0.00,Jun,2014
23511,40.87,121.85,3800,0.31,Jun,2014
23513,37.37,119.88,1520,0.39,Jun,2014
23514,41.68,122.60,3090,0.12,Jun,2014
23515,37.17,121.76,550,0.00,Jun,2014
23516,36.39,121.55,1824,0.00,Jun,2014
23518,40.17,121.09,4560,0.00,Jun,2014
23519,35.10,119.77,2400,0.00,Jun,2014
23520,40.60,121.85,2840,0.00,Jun,2014
23522,38.88,123.05,350,0.00,Jun,2014
23523,41.58,120.30,7030,1.50,Jun,2014
23524,41.78,124.24,56,1.56,Jun,2014
23525,41.53,120.17,4670,0.32,Jun,2014
23526,40.28,121.23,4525,0.01,Jun,2014
23527,41.08,122.72,3040,0.00,Jun,2014
23528,36.79,118.66,4720,0.00,Jun,2014
23529,40.30,121.24,4530,0.00,Jun,2014
23531,41.31,122.80,3185,0.48,Jun,2014
23532,34.33,118.03,5500,0.00,Jun,2014
23534,39.69,121.82,185,0.00,Jun,2014
23535,37.97,119.92,4765,0.23,Jun,2014
23536,36.31,121.57,5040,0.00,Jun,2014
23537,39.71,121.78,237,0.00,Jun,2014
23538,40.64,122.73,3300,0.00,Jun,2014
23540,39.33,121.19,595,0.00,Jun,2014
23541,41.30,122.82,3911,1.09,Jun,2014
23542,38.25,120.84,658,0.00,Jun,2014
23543,37.76,119.82,6634,0.18,Jun,2014
23544,36.14,120.36,670,0.00,Jun,2014
23545,34.35,118.42,4000,0.00,Jun,2014
23546,37.25,119.71,2230,0.00,Jun,2014
23547,33.26,115.45,100,0.00,Jun,2014
23548,37.26,121.65,2998,0.00,Jun,2014
23549,37.18,121.54,2739,0.00,Jun,2014
23550,39.10,120.96,2400,0.00,Jun,2014
23553,37.20,121.73,256,0.00,Jun,2014
23554,41.98,122.34,2703,0.24,Jun,2014
23555,39.83,123.08,1514,0.00,Jun,2014
23556,39.13,123.07,3355,0.01,Jun,2014
23557,38.71,120.04,7980,0.37,Jun,2014
23559,34.02,118.29,185,0.00,Jun,2014
23560,34.02,118.29,185,0.00,Jun,2014
23563,39.94,122.17,289,0.00,Jun,2014
23567,34.11,118.94,1700,0.00,Jun,2014
23568,41.98,123.61,3970,0.43,Jun,2014
23569,34.44,118.61,1005,0.00,Jun,2014
23570,35.94,120.33,4000,0.01,Jun,2014
23571,39.87,121.77,1733,0.00,Jun,2014
23572,40.32,122.88,3400,0.00,Jun,2014
23573,32.93,116.56,4870,0.00,Jun,2014
23575,39.82,123.24,1410,0.00,Jun,2014
23576,38.20,120.37,3360,0.00,Jun,2014
23577,34.93,119.61,2275,0.00,Jun,2014
23578,34.85,116.79,1922,0.00,Jun,2014
23580,38.53,121.78,60,0.00,Jun,2014
23581,37.33,121.30,1861,0.00,Jun,2014
23582,38.33,119.65,9250,0.36,Jun,2014
23583,40.70,122.09,1300,0.00,Jun,2014
23584,39.87,121.61,2710,0.00,Jun,2014
23585,39.87,121.61,2710,0.00,Jun,2014
23586,36.46,116.86,-194,0.00,Jun,2014
23587,39.30,120.83,4455,0.00,Jun,2014
23590,36.91,119.09,1720,0.00,Jun,2014
23591,36.91,119.09,1720,0.00,Jun,2014
23592,39.33,120.28,5924,0.00,Jun,2014
23594,39.97,120.08,4390,0.00,Jun,2014
23595,39.32,120.23,5937,0.00,Jun,2014
23596,40.02,120.10,4240,0.00,Jun,2014
23597,39.26,120.77,3400,0.00,Jun,2014
23600,37.55,120.46,230,0.00,Jun,2014
23602,41.18,122.28,2170,0.00,Jun,2014
23603,34.22,117.40,2080,0.00,Jun,2014
23604,40.35,122.45,550,0.00,Jun,2014
23605,39.88,120.48,5768,0.00,Jun,2014
23606,39.56,120.82,2915,0.00,Jun,2014
23608,38.55,119.80,8765,0.10,Jun,2014
23609,39.65,122.72,4465,0.00,Jun,2014
23610,39.83,123.08,1500,0.02,Jun,2014
23611,40.81,124.16,20,0.35,Jun,2014
23614,41.99,123.72,1708,0.48,Jun,2014
23615,37.93,119.23,9645,0.50,Jun,2014
23616,32.88,116.81,800,0.00,Jun,2014
23617,32.88,116.81,800,0.00,Jun,2014
23621,33.67,117.33,1285,0.00,Jun,2014
23622,38.24,120.51,2559,0.00,Jun,2014
23623,37.30,121.74,450,0.00,Jun,2014
23624,37.59,120.27,879,0.00,Jun,2014
23625,37.59,120.27,879,0.00,Jun,2014
23626,39.43,120.03,5153,0.00,Jun,2014
23627,36.78,119.72,372,0.00,Jun,2014
23628,39.52,121.27,2840,0.00,Jun,2014
23629,36.90,119.50,920,0.00,Jun,2014
23630,38.52,120.71,2160,0.00,Jun,2014
23631,38.52,120.71,2160,0.00,Jun,2014
23633,34.75,120.01,3200,0.00,Jun,2014
23634,32.99,116.07,760,0.00,Jun,2014
23635,39.90,120.18,5517,0.00,Jun,2014
23636,36.01,121.24,1150,0.00,Jun,2014
23638,38.93,120.05,6236,0.00,Jun,2014
23639,37.27,118.96,7200,0.00,Jun,2014
23640,32.85,116.86,880,0.04,Jun,2014
23641,41.02,121.44,3310,0.13,Jun,2014
23642,34.70,118.43,3060,0.00,Jun,2014
23643,41.86,120.15,4500,0.61,Jun,2014
23644,41.60,122.85,2725,0.20,Jun,2014
23645,38.70,121.17,350,0.00,Jun,2014
23646,36.99,119.69,581,0.00,Jun,2014
23647,39.51,123.76,120,0.18,Jun,2014
23648,36.99,119.69,660,0.00,Jun,2014
23649,39.81,121.32,5150,0.04,Jun,2014
23650,32.77,117.17,20,0.15,Jun,2014
23651,39.01,120.85,3020,0.00,Jun,2014
23652,41.88,124.14,0,1.56,Jun,2014
23653,35.89,118.92,800,0.00,Jun,2014
23654,40.22,123.63,217,0.00,Jun,2014
23655,41.85,123.97,384,1.05,Jun,2014
23656,41.85,123.97,384,1.05,Jun,2014
23657,34.52,119.68,1550,0.00,Jun,2014
23659,33.80,116.48,320,0.00,Jun,2014
23660,39.67,120.62,6920,0.08,Jun,2014
23661,37.24,121.87,184,0.00,Jun,2014
23662,38.92,120.79,3011,0.00,Jun,2014
23663,36.53,121.27,2343,0.00,Jun,2014
23665,37.77,119.78,7047,0.40,Jun,2014
23666,37.05,121.51,472,0.00,Jun,2014
23667,39.07,120.56,5580,0.44,Jun,2014
23669,39.16,120.86,3320,0.00,Jun,2014
23670,36.56,118.77,6650,0.07,Jun,2014
23671,38.21,119.89,8400,0.28,Jun,2014
23672,35.73,118.70,3140,0.00,Jun,2014
23673,37.83,120.50,999,0.04,Jun,2014
23675,36.96,121.61,754,0.00,Jun,2014
23677,39.20,121.07,2400,0.00,Jun,2014
23679,41.13,122.28,4800,0.16,Jun,2014
23680,36.74,118.96,6600,0.00,Jun,2014
23681,32.80,116.92,533,0.04,Jun,2014
23682,37.55,119.24,7900,0.20,Jun,2014
23685,39.92,120.65,6900,0.00,Jun,2014
23687,37.27,119.54,4520,0.00,Jun,2014
23688,37.19,121.89,1680,0.00,Jun,2014
23689,37.47,119.27,6900,0.16,Jun,2014
23690,40.93,121.54,3015,0.08,Jun,2014
23691,40.93,121.54,3015,0.08,Jun,2014
23692,33.24,116.76,2750,0.00,Jun,2014
23693,36.37,118.65,8500,0.03,Jun,2014
23694,38.41,122.37,110,0.00,Jun,2014
23695,36.38,120.85,3500,0.00,Jun,2014
23696,36.14,117.95,3825,0.00,Jun,2014
23697,37.96,119.78,3870,0.20,Jun,2014
23698,38.85,119.94,7776,0.00,Jun,2014
23699,37.10,119.88,2580,0.10,Jun,2014
23702,36.32,119.63,242,0.00,Jun,2014
23703,40.87,121.88,3440,0.16,Jun,2014
23704,39.24,121.27,800,0.00,Jun,2014
23705,39.24,121.27,800,0.00,Jun,2014
23706,40.12,121.37,6500,0.00,Jun,2014
23708,37.23,119.22,7020,0.04,Jun,2014
23709,37.23,119.22,7020,0.04,Jun,2014
23710,33.07,117.11,327,0.00,Jun,2014
23711,40.24,124.13,370,0.00,Jun,2014
23712,41.05,123.67,275,0.12,Jun,2014
23714,41.80,123.38,1120,0.11,Jun,2014
23715,40.90,122.25,3200,0.00,Jun,2014
23716,38.73,122.84,2024,0.02,Jun,2014
23717,40.55,123.17,2323,0.09,Jun,2014
23718,39.49,120.28,6456,0.00,Jun,2014
23719,39.45,120.29,7003,0.00,Jun,2014
23720,39.45,120.29,7003,0.00,Jun,2014
23722,36.80,118.20,3950,0.00,Jun,2014
23723,39.08,122.53,1480,0.00,Jun,2014
23724,32.83,115.58,0,0.00,Jun,2014
23725,35.63,118.48,2515,0.04,Jun,2014
23726,35.63,118.48,2515,0.04,Jun,2014
23729,41.27,120.29,5400,0.69,Jun,2014
23731,37.22,121.93,755,0.00,Jun,2014
23732,41.33,120.47,4372,0.29,Jun,2014
23734,36.27,121.07,431,0.00,Jun,2014
23735,38.91,122.71,2100,0.00,Jun,2014
23737,36.21,121.13,320,0.00,Jun,2014
23738,38.86,122.42,2550,0.00,Jun,2014
23739,40.13,120.72,7300,0.00,Jun,2014
23740,35.76,118.43,2720,0.00,Jun,2014
23742,37.30,119.10,9131,0.24,Jun,2014
23743,36.03,120.06,810,0.00,Jun,2014
23744,35.78,118.44,2703,0.00,Jun,2014
23746,39.20,123.19,670,0.13,Jun,2014
23750,33.94,118.39,97,0.00,Jun,2014
23751,32.84,116.90,554,0.00,Jun,2014
23752,38.32,122.63,1800,0.00,Jun,2014
23754,36.60,118.73,6735,0.00,Jun,2014
23755,39.87,123.72,700,0.04,Jun,2014
23756,36.38,119.03,513,0.00,Jun,2014
23759,37.96,119.12,6797,0.16,Jun,2014
23760,37.20,121.99,665,0.00,Jun,2014
23761,33.81,118.15,31,0.00,Jun,2014
23762,39.83,122.79,5100,0.09,Jun,2014
23764,36.20,119.06,420,0.00,Jun,2014
23766,37.11,121.84,3788,0.00,Jun,2014
23767,32.77,117.02,530,0.00,Jun,2014
23769,38.44,119.37,9233,0.00,Jun,2014
23771,37.05,120.87,120,0.00,Jun,2014
23773,34.21,119.14,63,0.00,Jun,2014
23774,36.39,121.67,1058,0.00,Jun,2014
23775,39.68,120.99,5000,0.00,Jun,2014
23776,35.38,120.19,1633,0.00,Jun,2014
23777,40.87,122.39,1100,0.00,Jun,2014
23778,40.34,121.71,4159,1.08,Jun,2014
23779,39.32,120.64,5156,0.01,Jun,2014
23780,39.32,120.64,5156,0.01,Jun,2014
23781,35.57,121.08,80,0.00,Jun,2014
23782,34.49,119.05,4520,0.12,Jun,2014
23784,38.30,119.55,7205,0.00,Jun,2014
23785,35.90,121.09,795,0.00,Jun,2014
23786,40.32,123.37,2760,0.00,Jun,2014
23787,37.49,119.81,3150,0.24,Jun,2014
23788,37.61,119.03,9300,0.40,Jun,2014
23790,37.29,120.51,153,0.00,Jun,2014
23792,41.25,122.14,3280,0.00,Jun,2014
23793,41.13,122.07,2690,0.03,Jun,2014
23794,36.95,120.04,270,0.00,Jun,2014
23796,38.34,122.20,1000,0.00,Jun,2014
23797,38.50,121.04,185,0.00,Jun,2014
23798,37.35,121.63,4198,0.00,Jun,2014
23799,37.35,121.63,4198,0.00,Jun,2014
23800,41.32,122.32,3590,0.04,Jun,2014
23801,40.35,121.61,4875,0.25,Jun,2014
23802,40.35,121.61,4875,0.25,Jun,2014
23804,38.69,119.78,5501,0.00,Jun,2014
23805,34.38,118.07,5021,0.00,Jun,2014
23807,34.32,117.50,3300,0.00,Jun,2014
23808,36.05,121.52,3288,0.00,Jun,2014
23810,40.54,121.58,5750,1.07,Jun,2014
23812,37.49,119.99,2100,0.00,Jun,2014
23813,37.49,119.99,2100,0.00,Jun,2014
23815,40.18,123.78,218,0.00,Jun,2014
23816,37.06,121.60,260,0.00,Jun,2014
23817,38.67,122.63,4140,0.00,Jun,2014
23818,41.78,122.04,4250,0.11,Jun,2014
23819,37.01,121.70,1822,0.00,Jun,2014
23820,38.39,120.65,2967,0.00,Jun,2014
23821,40.72,123.29,3400,0.25,Jun,2014
23822,34.23,118.07,5733,0.00,Jun,2014
23823,35.76,120.89,825,0.00,Jun,2014
23824,36.69,121.62,80,0.00,Jun,2014
23825,38.43,122.25,1660,0.00,Jun,2014
23826,38.16,120.81,554,0.08,Jun,2014
23827,35.69,117.69,2283,0.00,Jun,2014
23828,35.02,120.47,305,0.00,Jun,2014
23829,35.20,120.46,550,0.00,Jun,2014
23830,33.28,115.52,-60,0.00,Jun,2014
23831,39.54,122.67,5100,0.00,Jun,2014
23832,38.00,120.49,960,0.00,Jun,2014
23833,37.95,120.53,1400,0.00,Jun,2014
23834,37.23,119.51,2630,0.00,Jun,2014
23835,37.34,119.35,5150,0.00,Jun,2014
23836,39.25,121.00,2781,0.00,Jun,2014
23837,41.84,122.85,1980,0.31,Jun,2014
23838,33.21,117.35,30,0.00,Jun,2014
23839,33.21,117.35,30,0.00,Jun,2014
23840,40.42,122.74,1300,0.00,Jun,2014
23841,37.15,121.42,1696,0.00,Jun,2014
23842,37.33,119.66,2230,0.33,Jun,2014
23843,41.84,122.85,1953,0.30,Jun,2014
23845,39.75,122.20,254,0.00,Jun,2014
23846,36.18,118.71,3240,0.00,Jun,2014
23847,39.53,121.52,900,0.00,Jun,2014
23848,41.30,124.05,5,0.60,Jun,2014
23849,41.31,123.53,400,0.68,Jun,2014
23855,36.61,120.88,1400,0.00,Jun,2014
23857,38.76,120.50,3440,0.00,Jun,2014
23858,38.76,120.50,3440,0.00,Jun,2014
23859,37.25,119.46,5150,0.00,Jun,2014
23860,38.58,122.63,1124,0.00,Jun,2014
23861,36.83,119.32,615,0.04,Jun,2014
23862,36.83,119.32,615,0.04,Jun,2014
23863,38.40,120.63,2440,0.00,Jun,2014
23865,35.90,120.43,1525,0.00,Jun,2014
23866,40.44,122.83,2452,0.00,Jun,2014
23867,40.21,121.16,4520,0.05,Jun,2014
23868,40.29,122.87,3500,0.00,Jun,2014
23869,36.40,121.72,2610,0.00,Jun,2014
23870,39.37,123.13,1440,0.00,Jun,2014
23871,37.40,119.52,6900,0.04,Jun,2014
23872,39.81,120.47,4850,0.00,Jun,2014
23873,39.75,121.62,1725,0.00,Jun,2014
23874,37.02,119.56,1296,0.00,Jun,2014
23875,33.36,116.86,5560,0.00,Jun,2014
23876,40.99,121.98,1458,0.01,Jun,2014
23877,40.99,121.98,1458,0.01,Jun,2014
23879,35.97,118.35,9150,0.29,Jun,2014
23880,33.82,116.50,474,0.00,Jun,2014
23881,39.38,120.14,5760,0.73,Jun,2014
23882,39.38,120.14,5760,0.73,Jun,2014
23883,38.19,120.01,5600,0.04,Jun,2014
23884,36.63,121.93,27,0.00,Jun,2014
23885,40.98,121.51,2880,0.04,Jun,2014
